time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-17 00:00:00+00:00,3,2,60,6
2023-05-18 00:00:00+00:00,4,3,56,14
2023-05-19 00:00:00+00:00,3,2,53,10
2023-05-20 00:00:00+00:00,4,3,85,16
2023-05-21 00:00:00+00:00,5,3,56,7
2023-05-22 00:00:00+00:00,4,3,106,13
2023-05-23 00:00:00+00:00,6,5,38,8
2023-05-24 00:00:00+00:00,3,2,201,15
2023-05-25 00:00:00+00:00,5,3,51,12
2023-05-26 00:00:00+00:00,8,5,177,10
2023-05-27 00:00:00+00:00,3,2,143,16
2023-05-28 00:00:00+00:00,3,2,105,7
2023-05-29 00:00:00+00:00,6,5,156,15
2023-05-30 00:00:00+00:00,2,1,117,6
