time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-17 00:00:00+00:00,1.0,1.0,37,8
2024-05-18 00:00:00+00:00,1.0,1.0,19,5
2024-05-19 00:00:00+00:00,3.0,2.0,6,3
2024-05-20 00:00:00+00:00,6.0,3.0,7,6
2024-05-21 00:00:00+00:00,1.0,1.0,30,3
2024-05-22 00:00:00+00:00,1.0,1.0,54,4
2024-05-23 00:00:00+00:00,5.0,2.0,122,6
2024-05-24 00:00:00+00:00,8.0,4.0,84,7
2024-05-25 00:00:00+00:00,1.0,1.0,51,9
2024-05-26 00:00:00+00:00,2.0,2.0,58,8
2024-05-27 00:00:00+00:00,1.0,1.0,75,7
2024-05-28 00:00:00+00:00,6.0,3.0,30,6
2024-05-29 00:00:00+00:00,2.0,2.0,9,1
2024-05-30 00:00:00+00:00,,,67,3
