time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,3,3,7,5
2026-02-06 00:00:00+00:00,3,3,10,7
2026-02-07 00:00:00+00:00,8,4,29,4
2026-02-08 00:00:00+00:00,17,9,21,5
2026-02-09 00:00:00+00:00,7,3,32,3
2026-02-10 00:00:00+00:00,9,5,27,8
2026-02-11 00:00:00+00:00,8,4,22,6
2026-02-12 00:00:00+00:00,17,9,8,6
2026-02-13 00:00:00+00:00,2,2,11,7
2026-02-14 00:00:00+00:00,18,10,7,4
2026-02-15 00:00:00+00:00,10,6,30,5
2026-02-16 00:00:00+00:00,14,6,29,7
2026-02-17 00:00:00+00:00,7,3,36,7
2026-02-18 00:00:00+00:00,10,6,35,7
