time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-26 00:00:00+00:00,2,2,155,9
2023-10-27 00:00:00+00:00,2,2,142,7
2023-10-28 00:00:00+00:00,2,2,91,11
2023-10-29 00:00:00+00:00,3,3,42,10
2023-10-30 00:00:00+00:00,3,3,61,14
2023-10-31 00:00:00+00:00,2,2,58,7
2023-11-01 00:00:00+00:00,1,1,60,12
2023-11-02 00:00:00+00:00,2,2,92,5
2023-11-03 00:00:00+00:00,3,3,29,3
2023-11-04 00:00:00+00:00,3,3,140,9
2023-11-05 00:00:00+00:00,3,3,167,17
2023-11-06 00:00:00+00:00,4,4,156,11
2023-11-07 00:00:00+00:00,1,1,18,7
2023-11-08 00:00:00+00:00,1,1,142,7
