time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-31 00:00:00+00:00,1,1,14,5
2025-08-01 00:00:00+00:00,3,2,31,8
2025-08-02 00:00:00+00:00,3,3,17,5
2025-08-03 00:00:00+00:00,6,6,11,5
2025-08-04 00:00:00+00:00,6,6,26,8
2025-08-05 00:00:00+00:00,4,4,39,5
2025-08-06 00:00:00+00:00,1,1,69,8
2025-08-07 00:00:00+00:00,10,10,36,6
2025-08-08 00:00:00+00:00,4,4,22,7
2025-08-09 00:00:00+00:00,3,2,27,4
2025-08-10 00:00:00+00:00,1,1,47,9
2025-08-11 00:00:00+00:00,8,8,127,8
2025-08-12 00:00:00+00:00,4,4,33,7
2025-08-13 00:00:00+00:00,2,2,39,10
