time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-07 00:00:00+00:00,21,7,4,2
2026-07-08 00:00:00+00:00,19,6,10,4
2026-07-09 00:00:00+00:00,16,7,11,5
2026-07-10 00:00:00+00:00,3,3,5,1
2026-07-11 00:00:00+00:00,1,1,9,1
2026-07-12 00:00:00+00:00,3,2,2,1
2026-07-13 00:00:00+00:00,3,3,6,2
2026-07-14 00:00:00+00:00,23,9,9,2
2026-07-15 00:00:00+00:00,15,6,6,1
2026-07-16 00:00:00+00:00,19,5,1,1
2026-07-17 00:00:00+00:00,10,5,0,0
2026-07-18 00:00:00+00:00,2,2,1,1
2026-07-19 00:00:00+00:00,18,5,2,2
2026-07-20 00:00:00+00:00,2,2,0,0
