time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-31 00:00:00+00:00,2.0,2.0,38,9
2022-09-01 00:00:00+00:00,2.0,2.0,31,5
2022-09-02 00:00:00+00:00,2.0,2.0,31,9
2022-09-03 00:00:00+00:00,2.0,2.0,3,1
2022-09-04 00:00:00+00:00,1.0,1.0,9,6
2022-09-05 00:00:00+00:00,2.0,2.0,31,3
2022-09-06 00:00:00+00:00,1.0,1.0,46,9
2022-09-07 00:00:00+00:00,1.0,1.0,132,7
2022-09-08 00:00:00+00:00,2.0,2.0,14,7
2022-09-09 00:00:00+00:00,1.0,1.0,21,4
2022-09-10 00:00:00+00:00,2.0,2.0,19,4
2022-09-11 00:00:00+00:00,4.0,4.0,55,5
2022-09-12 00:00:00+00:00,2.0,2.0,3,3
2022-09-13 00:00:00+00:00,,,15,4
