time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-19 00:00:00+00:00,3,3,25,5
2025-07-20 00:00:00+00:00,4,4,50,8
2025-07-21 00:00:00+00:00,7,6,29,5
2025-07-22 00:00:00+00:00,1,1,45,11
2025-07-23 00:00:00+00:00,1,1,22,4
2025-07-24 00:00:00+00:00,2,2,13,4
2025-07-25 00:00:00+00:00,4,4,49,6
2025-07-26 00:00:00+00:00,3,3,15,3
2025-07-27 00:00:00+00:00,5,5,45,4
2025-07-28 00:00:00+00:00,2,2,19,4
2025-07-29 00:00:00+00:00,6,6,35,3
2025-07-30 00:00:00+00:00,1,1,40,9
2025-07-31 00:00:00+00:00,1,1,14,5
2025-08-01 00:00:00+00:00,2,1,31,8
