time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,19,6,4,3
2026-06-05 00:00:00+00:00,8,3,10,4
2026-06-06 00:00:00+00:00,13,4,0,0
2026-06-07 00:00:00+00:00,17,8,28,4
2026-06-08 00:00:00+00:00,10,5,28,4
2026-06-09 00:00:00+00:00,13,6,3,2
2026-06-10 00:00:00+00:00,16,7,0,0
2026-06-11 00:00:00+00:00,22,9,16,2
2026-06-12 00:00:00+00:00,21,9,19,6
2026-06-13 00:00:00+00:00,16,6,30,5
2026-06-14 00:00:00+00:00,28,9,10,3
2026-06-15 00:00:00+00:00,22,8,4,3
2026-06-16 00:00:00+00:00,38,11,3,3
2026-06-17 00:00:00+00:00,16,7,9,6
