time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-13 00:00:00+00:00,3,2,86,9
2023-05-14 00:00:00+00:00,3,2,85,17
2023-05-15 00:00:00+00:00,3,3,113,8
2023-05-16 00:00:00+00:00,3,2,27,6
2023-05-17 00:00:00+00:00,3,2,60,6
2023-05-18 00:00:00+00:00,4,3,56,14
2023-05-19 00:00:00+00:00,3,2,53,10
2023-05-20 00:00:00+00:00,4,3,85,16
2023-05-21 00:00:00+00:00,5,3,56,7
2023-05-22 00:00:00+00:00,4,3,106,13
2023-05-23 00:00:00+00:00,6,5,38,8
2023-05-24 00:00:00+00:00,3,2,201,15
2023-05-25 00:00:00+00:00,5,3,51,12
2023-05-26 00:00:00+00:00,3,2,157,9
