time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-08 00:00:00+00:00,1,1,52,11
2023-02-09 00:00:00+00:00,24,6,87,10
2023-02-10 00:00:00+00:00,1,1,73,14
2023-02-11 00:00:00+00:00,11,7,39,11
2023-02-12 00:00:00+00:00,8,5,56,12
2023-02-13 00:00:00+00:00,4,4,138,13
2023-02-14 00:00:00+00:00,6,2,122,17
2023-02-15 00:00:00+00:00,2,2,73,10
2023-02-16 00:00:00+00:00,1,1,88,14
2023-02-17 00:00:00+00:00,1,1,65,13
2023-02-18 00:00:00+00:00,4,4,37,9
2023-02-19 00:00:00+00:00,1,1,64,11
2023-02-20 00:00:00+00:00,3,3,45,9
2023-02-21 00:00:00+00:00,1,1,86,17
